0.0800, 1.1000, 2.8000
0.0820, 1.1000, 2.8000
0.0840, 1.0920, 2.8000
0.0840, 1.0960, 2.8800
0.0840, 1.1000, 2.9800
0.0860, 1.0920, 2.8000
0.0860, 1.0960, 2.8000
0.0860, 1.1000, 2.8000
0.0880, 1.0840, 2.8000
0.0880, 1.0880, 2.8000
0.0880, 1.0920, 2.8000
0.0880, 1.0960, 2.8000
0.0880, 1.1000, 2.8000
0.0900, 1.0800, 2.8000
0.0900, 1.0840, 2.8000
0.0900, 1.0880, 2.8000
0.0900, 1.0920, 2.8000
0.0900, 1.0960, 2.8000
0.0900, 1.1000, 2.9000
0.0920, 1.0720, 2.8000
0.0920, 1.0760, 2.8000
0.0920, 1.0800, 2.8000
0.0920, 1.0840, 2.8000
0.0920, 1.0880, 2.8000
0.0920, 1.0920, 2.8000
0.0920, 1.0960, 2.8000
0.0920, 1.1000, 2.8000
0.0940, 1.0600, 2.8000
0.0940, 1.0640, 2.8000
0.0940, 1.0680, 2.8000
0.0940, 1.0720, 2.8000
0.0940, 1.0760, 2.8000
0.0940, 1.0800, 2.8000
0.0940, 1.0840, 2.8000
0.0940, 1.0880, 2.8000
0.0940, 1.0920, 2.8000
0.0940, 1.0960, 2.8000
0.0940, 1.1000, 2.9200
0.0960, 1.0600, 2.8000
0.0960, 1.0640, 2.8000
0.0960, 1.0680, 2.8200
0.0960, 1.0720, 2.9200
0.0960, 1.0760, 3.0400
0.0960, 1.0800, 2.8000
0.0960, 1.0840, 2.8000
0.0960, 1.0880, 2.8000
0.0960, 1.0920, 2.8000
0.0960, 1.0960, 2.8000
0.0960, 1.1000, 2.8200
0.0980, 1.0600, 2.8000
0.0980, 1.0640, 2.8200
0.0980, 1.0680, 2.9400
0.0980, 1.0720, 3.0400
0.0980, 1.0760, 3.1400
0.0980, 1.0800, 2.8000
0.0980, 1.0840, 2.8000
0.0980, 1.0880, 2.8000
0.0980, 1.0920, 2.8200
0.0980, 1.0960, 2.9400
0.0980, 1.1000, 3.0400
0.1000, 1.0480, 2.8000
0.1000, 1.0520, 2.8000
0.1000, 1.0560, 2.8000
0.1000, 1.0600, 2.8200
0.1000, 1.0640, 2.9400
0.1000, 1.0680, 3.0600
0.1000, 1.0720, 2.8000
0.1000, 1.0760, 2.8000
0.1000, 1.0800, 2.8000
0.1000, 1.0840, 2.8000
0.1000, 1.0880, 2.8000
